SYMBOL,cell,type
BLK,B cells,blood
CD79B,B cells,blood
P2RX5,B cells,blood
PAX5,B cells,blood
CD22,B cells,blood
PCDH9,B cells,blood
BCL11A,B cells,blood
VPREB3,B cells,blood
BTLA,B cells,blood
STRBP,B cells,blood
FAM129C,B cells,blood
CD19,B cells,blood
ABCB4,B cells,blood
KIAA0125,B cells,blood
QRSL1,B cells,blood
CD72,B cells,blood
STAP1,B cells,blood
PNOC,B cells,blood
RAB30,B cells,blood
RALGPS2,B cells,blood
CR2,B cells,blood
TCL1A,B cells,blood
TSPAN13,B cells,blood
FCRLA,B cells,blood
BANK1,B cells,blood
E2F5,B cells,blood
AFF3,B cells,blood
EBF1,B cells,blood
HLA-DOB,B cells,blood
MS4A1,B cells,blood
TLR10,B cells,blood
CDCA7L,B cells,blood
KLHL14,B cells,blood
ADAM28,B cells,blood
OSBPL10,B cells,blood
SNX29P1,B cells,blood
FCRL1,B cells,blood
NT5E,B cells,blood
TCF4,B cells,blood
GNG7,B cells,blood
CD79A,B cells,blood
MACROD2,B cells,blood
PTPRK,B cells,blood
CD200,B cells,blood
SPIB,B cells,blood
CCR6,B cells,blood
LINC00926,B cells,blood
PTTG1,Cell Cycle,blood
PLK4,Cell Cycle,blood
RAD51AP1,Cell Cycle,blood
CENPE,Cell Cycle,blood
CDC20,Cell Cycle,blood
CEP55,Cell Cycle,blood
CASC5,Cell Cycle,blood
DLGAP5,Cell Cycle,blood
NUF2,Cell Cycle,blood
HMMR,Cell Cycle,blood
CCNB1,Cell Cycle,blood
DEPDC1B,Cell Cycle,blood
CDK1,Cell Cycle,blood
TPX2,Cell Cycle,blood
RRM2,Cell Cycle,blood
CCNB2,Cell Cycle,blood
PCNA,Cell Cycle,blood
GMNN,Cell Cycle,blood
ASPM,Cell Cycle,blood
CENPF,Cell Cycle,blood
KIF15,Cell Cycle,blood
E2F8,Cell Cycle,blood
MCM4,Cell Cycle,blood
AURKA,Cell Cycle,blood
KIF14,Cell Cycle,blood
GINS1,Cell Cycle,blood
RACGAP1,Cell Cycle,blood
DTL,Cell Cycle,blood
ZWINT,Cell Cycle,blood
BUB1B,Cell Cycle,blood
TYMS,Cell Cycle,blood
KIAA0101,Cell Cycle,blood
NUSAP1,Cell Cycle,blood
KIF11,Cell Cycle,blood
PBK,Cell Cycle,blood
PARPBP,Cell Cycle,blood
GINS2,Cell Cycle,blood
FAM72C,Cell Cycle,blood
FBXO5,Cell Cycle,blood
MAD2L1,Cell Cycle,blood
CCNE2,Cell Cycle,blood
CDCA7,Cell Cycle,blood
EZH2,Cell Cycle,blood
CDCA2,Cell Cycle,blood
HJURP,Cell Cycle,blood
ANLN,Cell Cycle,blood
TK1,Cell Cycle,blood
TTK,Cell Cycle,blood
KIF20A,Cell Cycle,blood
STIL,Cell Cycle,blood
CDC6,Cell Cycle,blood
MCM2,Cell Cycle,blood
BUB1,Cell Cycle,blood
NDC80,Cell Cycle,blood
RAD51,Cell Cycle,blood
TOP2A,Cell Cycle,blood
CDKN3,Cell Cycle,blood
OIP5,Cell Cycle,blood
KIF4A,Cell Cycle,blood
NEK2,Cell Cycle,blood
UHRF1,Cell Cycle,blood
CCNA2,Cell Cycle,blood
MELK,Cell Cycle,blood
SIGLEC1,IFN,blood
LGALS3BP,IFN,blood
LAP3,IFN,blood
BATF2,IFN,blood
USP18,IFN,blood
SP110,IFN,blood
LY6E,IFN,blood
DHX58,IFN,blood
SERPING1,IFN,blood
IFI44,IFN,blood
DDX58,IFN,blood
IFIT1,IFN,blood
TAP1,IFN,blood
PML,IFN,blood
TOR1B,IFN,blood
IRF9,IFN,blood
CMPK2,IFN,blood
PARP9,IFN,blood
STAT1,IFN,blood
OAS1,IFN,blood
FBXO6,IFN,blood
EIF2AK2,IFN,blood
SPATS2L,IFN,blood
OAS2,IFN,blood
BST2,IFN,blood
MX2,IFN,blood
IFI6,IFN,blood
SAMD9L,IFN,blood
IFI35,IFN,blood
PARP14,IFN,blood
DDX60,IFN,blood
MX1,IFN,blood
UBE2L6,IFN,blood
PARP12,IFN,blood
STAT2,IFN,blood
OAS3,IFN,blood
RSAD2,IFN,blood
DTX3L,IFN,blood
HERC5,IFN,blood
EPSTI1,IFN,blood
IFI44L,IFN,blood
IFIT3,IFN,blood
IRF7,IFN,blood
XAF1,IFN,blood
HELZ2,IFN,blood
TRIM6,IFN,blood
TNFSF10,IFN,blood
GBP4,IFN,blood
HESX1,IFN,blood
ZNFX1,IFN,blood
APOL1,IFN,blood
SAMD9,IFN,blood
HERC6,IFN,blood
APOL6,IFN,blood
TRIM22,IFN,blood
GBP1,IFN,blood
TDRD7,IFN,blood
ISG15,IFN,blood
OASL,IFN,blood
IFI16,IFN,blood
TRAFD1,IFN,blood
RNF213,IFN,blood
TRIM5,IFN,blood
IFIT2,IFN,blood
IFIH1,IFN,blood
CMTR1,IFN,blood
PHF11,IFN,blood
MOV10,IFN,blood
RTP4,IFN,blood
CECR1,Macrophages,blood
CTSB,Macrophages,blood
HLA-DRB6,Macrophages,blood
FCGR2A,Macrophages,blood
TNFSF13B,Macrophages,blood
NCF2,Macrophages,blood
SLAMF8,Macrophages,blood
IFI30,Macrophages,blood
CCR1,Macrophages,blood
CD163,Macrophages,blood
ITGB2,Macrophages,blood
C1QB,Macrophages,blood
C3AR1,Macrophages,blood
FCER1G,Macrophages,blood
TYROBP,Macrophages,blood
TNFAIP2,Macrophages,blood
SLC15A3,Macrophages,blood
CD74,Macrophages,blood
FCGR3B,Macrophages,blood
CLEC7A,Macrophages,blood
TRPV2,Macrophages,blood
NCKAP1L,Macrophages,blood
SPI1,Macrophages,blood
CYBB,Macrophages,blood
TYMP,Macrophages,blood
SNX10,Macrophages,blood
VSIG4,Macrophages,blood
HK3,Macrophages,blood
IGSF6,Macrophages,blood
MSR1,Macrophages,blood
LILRB4,Macrophages,blood
TBXAS1,Macrophages,blood
CD300A,Macrophages,blood
TLR8,Macrophages,blood
MNDA,Macrophages,blood
FCGR1B,Macrophages,blood
FPR3,Macrophages,blood
FCGR1A,Macrophages,blood
NPL,Macrophages,blood
CD4,Macrophages,blood
LY96,Macrophages,blood
MYO1F,Macrophages,blood
CYTH4,Macrophages,blood
CD86,Macrophages,blood
LAIR1,Macrophages,blood
LAPTM5,Macrophages,blood
PLA2G7,Macrophages,blood
BCL2A1,Macrophages,blood
C2,Macrophages,blood
ADORA3,Macrophages,blood
MAN2B1,Macrophages,blood
ARRB2,Macrophages,blood
EMR2,Macrophages,blood
DPYD,Macrophages,blood
ADAMDEC1,Macrophages,blood
GPNMB,Macrophages,blood
MFSD1,Macrophages,blood
ITGAX,Macrophages,blood
CMKLR1,Macrophages,blood
MS4A7,Macrophages,blood
TNFRSF1B,Macrophages,blood
PLEKHO2,Macrophages,blood
MS4A4A,Macrophages,blood
CTSS,Macrophages,blood
AOAH,Macrophages,blood
ITGAM,Macrophages,blood
CSF1R,Macrophages,blood
CSF2RB,Macrophages,blood
SLC31A2,Macrophages,blood
C1QA,Macrophages,blood
SCPEP1,Macrophages,blood
C1orf54,Macrophages,blood
TMEM140,Macrophages,blood
C5AR1,Macrophages,blood
NR1H3,Macrophages,blood
ATP8B4,Macrophages,blood
LIPA,Macrophages,blood
CD68,Macrophages,blood
CCRL2,Macrophages,blood
SLCO2B1,Macrophages,blood
NLRC4,Monocytes,blood
CFP,Monocytes,blood
CD1D,Monocytes,blood
DMXL2,Monocytes,blood
VCAN,Monocytes,blood
CD302,Monocytes,blood
LILRA1,Monocytes,blood
CPVL,Monocytes,blood
FAM198B,Monocytes,blood
ANKRD50,Monocytes,blood
SLC7A7,Monocytes,blood
KCTD12,Monocytes,blood
CD33,Monocytes,blood
S100Z,Monocytes,blood
LDLRAD3,Monocytes,blood
PLXNB2,Monocytes,blood
SLC24A4,Monocytes,blood
IRAK3,Monocytes,blood
TMEM170B,Monocytes,blood
CD93,Monocytes,blood
CSTA,Monocytes,blood
AIF1,Monocytes,blood
EPB41L3,Monocytes,blood
CALML4,Monocytes,blood
ASGR1,Monocytes,blood
CD36,Monocytes,blood
CD14,Monocytes,blood
MBOAT7,Neutrophils,blood
DYSF,Neutrophils,blood
STEAP4,Neutrophils,blood
PHC2,Neutrophils,blood
LIN7A,Neutrophils,blood
LIMK2,Neutrophils,blood
CREB5,Neutrophils,blood
FPR2,Neutrophils,blood
VNN2,Neutrophils,blood
ABHD5,Neutrophils,blood
MANSC1,Neutrophils,blood
NCF4,Neutrophils,blood
GLT1D1,Neutrophils,blood
STX3,Neutrophils,blood
FPR1,Neutrophils,blood
FRAT2,Neutrophils,blood
CLEC4E,Neutrophils,blood
CRISPLD2,Neutrophils,blood
CPPED1,Neutrophils,blood
NFE2,Neutrophils,blood
MRVI1,Neutrophils,blood
REPS2,Neutrophils,blood
DGAT2,Neutrophils,blood
CSF3R,Neutrophils,blood
P2RY13,Neutrophils,blood
GPR97,Neutrophils,blood
CXCR2,Neutrophils,blood
KCNJ15,Neutrophils,blood
SLC22A4,Neutrophils,blood
MMP25,Neutrophils,blood
LRRC4,Neutrophils,blood
MSRB1,Neutrophils,blood
CXCR1,Neutrophils,blood
MATK,NK cells,blood
YPEL1,NK cells,blood
GZMA,NK cells,blood
ENPP5,NK cells,blood
C1orf21,NK cells,blood
PTGDR,NK cells,blood
MYBL1,NK cells,blood
CD247,NK cells,blood
PDGFD,NK cells,blood
PRSS23,NK cells,blood
TOX,NK cells,blood
GNLY,NK cells,blood
FGFBP2,NK cells,blood
CD160,NK cells,blood
PRF1,NK cells,blood
S1PR5,NK cells,blood
TBX21,NK cells,blood
KLRD1,NK cells,blood
KLRF1,NK cells,blood
GPR56,NK cells,blood
TGFBR3,NK cells,blood
IL2RB,NK cells,blood
SPON2,NK cells,blood
SAMD3,NK cells,blood
GZMB,NK cells,blood
GZMH,NK cells,blood
PTPN4,NK cells,blood
KLRC4-KLRK1,NK cells,blood
CTSW,NK cells,blood
HOPX,NK cells,blood
LOC100505501,NK cells,blood
PHLDB2,NK cells,blood
KLRK1,NK cells,blood
CEP78,NK cells,blood
PYHIN1,NK cells,blood
ALG14,Plasma cells,blood
TRAM2,Plasma cells,blood
IGKC,Plasma cells,blood
ITM2C,Plasma cells,blood
SPATS2,Plasma cells,blood
IGLC1,Plasma cells,blood
PRDX4,Plasma cells,blood
CEP128,Plasma cells,blood
CD38,Plasma cells,blood
MZB1,Plasma cells,blood
IGJ,Plasma cells,blood
PDIA5,Plasma cells,blood
SEC11C,Plasma cells,blood
TNFRSF17,Plasma cells,blood
IGHD,Plasma cells,blood
EAF2,Plasma cells,blood
IGHA1,Plasma cells,blood
MYO1D,Plasma cells,blood
IGHM,Plasma cells,blood
IGKV1D-13,Plasma cells,blood
IGLV1-44,Plasma cells,blood
GLCCI1,Plasma cells,blood
IGLL3P,Plasma cells,blood
GUSBP11,Plasma cells,blood
IGHG3,Plasma cells,blood
PPAPDC1B,Plasma cells,blood
IGLV@,Plasma cells,blood
IGLJ3,Plasma cells,blood
TXNDC5,Plasma cells,blood
TPD52,Plasma cells,blood
GUCY1A3,Platelets,blood
BEND2,Platelets,blood
PROS1,Platelets,blood
SLC24A3,Platelets,blood
SELP,Platelets,blood
ENDOD1,Platelets,blood
FHL1,Platelets,blood
EGF,Platelets,blood
CLEC1B,Platelets,blood
MMRN1,Platelets,blood
WASF3,Platelets,blood
PEAR1,Platelets,blood
TNFSF4,Platelets,blood
ITGB5,Platelets,blood
CTTN,Platelets,blood
ASAP2,Platelets,blood
RHOBTB1,Platelets,blood
PTGS1,Platelets,blood
ALOX12,Platelets,blood
SPX,Platelets,blood
DNM3,Platelets,blood
MYLK,Platelets,blood
LTBP1,Platelets,blood
PDE5A,Platelets,blood
MFAP3L,Platelets,blood
CTDSPL,Platelets,blood
GUCY1B3,Platelets,blood
SH3BGRL2,Platelets,blood
TDRP,Platelets,blood
