SYMBOL,cell,type
BLK,B cells,tissue
CCR6,B cells,tissue
CD180,B cells,tissue
CD19,B cells,tissue
CD37,B cells,tissue
CD72,B cells,tissue
CD79A,B cells,tissue
CD79B,B cells,tissue
CR2,B cells,tissue
FAM129C,B cells,tissue
FCRL1,B cells,tissue
FCRL2,B cells,tissue
FCRL3,B cells,tissue
FCRL5,B cells,tissue
FCRLA,B cells,tissue
HLA-DOA,B cells,tissue
KIAA0125,B cells,tissue
LY9,B cells,tissue
MS4A1,B cells,tissue
P2RX5,B cells,tissue
STAP1,B cells,tissue
TCL1A,B cells,tissue
TLR10,B cells,tissue
VPREB3,B cells,tissue
RAB30,B cells,tissue
ABCB4,B cells,tissue
AFF3,B cells,tissue
BANK1,B cells,tissue
BTLA,B cells,tissue
CD22,B cells,tissue
EBF1,B cells,tissue
HLA-DOB,B cells,tissue
IGHV5-78,B cells,tissue
LINC00926,B cells,tissue
LOC100130458,B cells,tissue
LOC100507616,B cells,tissue
PAX5,B cells,tissue
PNOC,B cells,tissue
POU2F2,B cells,tissue
PPAPDC1B,B cells,tissue
S1PR4,B cells,tissue
SCN3A,B cells,tissue
SNX22,B cells,tissue
TCF4,B cells,tissue
ANLN,Cell Cycle,tissue
ASPM,Cell Cycle,tissue
AURKA,Cell Cycle,tissue
AURKB,Cell Cycle,tissue
BIRC5,Cell Cycle,tissue
BUB1,Cell Cycle,tissue
BUB1B,Cell Cycle,tissue
CASC5,Cell Cycle,tissue
CCNA2,Cell Cycle,tissue
CCNB1,Cell Cycle,tissue
CCNB2,Cell Cycle,tissue
CCNE2,Cell Cycle,tissue
CDC20,Cell Cycle,tissue
CDC6,Cell Cycle,tissue
CDCA2,Cell Cycle,tissue
CDCA3,Cell Cycle,tissue
CDCA5,Cell Cycle,tissue
CDCA7,Cell Cycle,tissue
CDCA8,Cell Cycle,tissue
CDK1,Cell Cycle,tissue
CDKN3,Cell Cycle,tissue
CDT1,Cell Cycle,tissue
CENPA,Cell Cycle,tissue
CENPE,Cell Cycle,tissue
CENPF,Cell Cycle,tissue
CENPL,Cell Cycle,tissue
CEP55,Cell Cycle,tissue
CKS1B,Cell Cycle,tissue
DEPDC1,Cell Cycle,tissue
DEPDC1B,Cell Cycle,tissue
DLGAP5,Cell Cycle,tissue
DONSON,Cell Cycle,tissue
DTL,Cell Cycle,tissue
E2F8,Cell Cycle,tissue
ECT2,Cell Cycle,tissue
EZH2,Cell Cycle,tissue
FAM72C,Cell Cycle,tissue
FANCI,Cell Cycle,tissue
FBXO5,Cell Cycle,tissue
FOXM1,Cell Cycle,tissue
GINS1,Cell Cycle,tissue
GINS2,Cell Cycle,tissue
GMNN,Cell Cycle,tissue
HJURP,Cell Cycle,tissue
HMGB3,Cell Cycle,tissue
HMMR,Cell Cycle,tissue
KIAA0101,Cell Cycle,tissue
KIF11,Cell Cycle,tissue
KIF14,Cell Cycle,tissue
KIF15,Cell Cycle,tissue
KIF18B,Cell Cycle,tissue
KIF20A,Cell Cycle,tissue
KIF2C,Cell Cycle,tissue
KIF4A,Cell Cycle,tissue
MAD2L1,Cell Cycle,tissue
MCM10,Cell Cycle,tissue
MCM2,Cell Cycle,tissue
MCM4,Cell Cycle,tissue
MCM6,Cell Cycle,tissue
MELK,Cell Cycle,tissue
MKI67,Cell Cycle,tissue
MND1,Cell Cycle,tissue
MTFR2,Cell Cycle,tissue
NCAPG,Cell Cycle,tissue
NCAPG2,Cell Cycle,tissue
NDC80,Cell Cycle,tissue
NEK2,Cell Cycle,tissue
NUF2,Cell Cycle,tissue
NUSAP1,Cell Cycle,tissue
OIP5,Cell Cycle,tissue
PARPBP,Cell Cycle,tissue
PBK,Cell Cycle,tissue
PCNA,Cell Cycle,tissue
PLK4,Cell Cycle,tissue
POLE2,Cell Cycle,tissue
POLQ,Cell Cycle,tissue
PTTG1,Cell Cycle,tissue
RACGAP1,Cell Cycle,tissue
RAD51,Cell Cycle,tissue
RAD51AP1,Cell Cycle,tissue
RRM1,Cell Cycle,tissue
RRM2,Cell Cycle,tissue
SHCBP1,Cell Cycle,tissue
SKA1,Cell Cycle,tissue
SMC2,Cell Cycle,tissue
SPC25,Cell Cycle,tissue
STIL,Cell Cycle,tissue
STMN1,Cell Cycle,tissue
TCF19,Cell Cycle,tissue
TK1,Cell Cycle,tissue
TOP2A,Cell Cycle,tissue
TPX2,Cell Cycle,tissue
